Bn,COY,Village,Mohalla,House No,Name,Relation,Sex,Age,Occupation,Mob No,GR,Property,Floor,Colour,No of Rooms,Perimeter Fence,Cowshed,Entry points,LAT/LONG
78 BN,A Coy,Ramgarh,Dhanush,Z-191,Sean,Husband,F,33,Teacher,9213840270,,1 kunal,Single,Cherry,3,Y,N,3,28.679079/77.069877
78 BN,A Coy,Ramgarh,Dhanush,Z-191,Ciaran,Wife,F,45,Engineer,9213840271,,1 kunal,Single,Light green,4,Y,Y,1,28.679079/77.069878
78 BN,A Coy,Ramgarh,Dhanush,Z-193,Jasper,Husband,F,12,Painter,9213840272,,2 kunal,Single,Red,4,Y,N,2,28.679079/77.069879
78 BN,A Coy,Ramgarh,Dhanush,Z-193,Kaiden,Wife,M,45,Call Centre,9213840273,,2 kunal,Single,Pink,2,Y,Y,2,28.679079/77.069880
78 BN,A Coy,Ramgarh,Dhanush,Z-195,Robin,Husband,M,23,Air hostess,9213840274,,2 kunal,Single,Purple,4,Y,Y,1,28.679079/77.069881
78 BN,A Coy,Ramgarh,Dhanush,Z-195,Caelan,Wife,M,67,Pilot,9213840275,,2 kunal,Single,White,5,Y,Y,2,28.679079/77.069882
78 BN,A Coy,Ramgarh,Dhanush,Z-198,Cohen,Husband,F,23,Scientist,9213840276,,2 kunal,Single,Blue,2,N,Y,2,28.679079/77.069883
78 BN,A Coy,Ahmednagar,Shivaji,Z-198,Magnus,Wife,M,56,Attender,9213840277,,1 kunal,Single,Green,3,N,Y,1,28.679079/77.069884
78 BN,A Coy,Ahmednagar,Shivaji,Z-198,Xander,Daughter,F,24,Buisnessman,9213840278,,1 kunal,Single,Lavender,5,N,Y,2,28.679079/77.069885
78 BN,A Coy,Ahmednagar,Shivaji,Z-198,Jason,Son,M,56,Technician,9213840279,,1 kunal,Single,Cherry,2,N,N,2,28.679079/77.069886
78 BN,A Coy,Ahmednagar,Shivaji,Z-201,Reece,Father,F,32,Shopkeeper,9213840280,,1 kunal,Single,Light green,4,N,N,2,28.679079/77.069887
78 BN,A Coy,Ahmednagar,Shivaji,Z-201,Ruairi,Mother,M,67,Doctor,9213840281,,1 kunal,Single,Red,4,Y,N,2,28.679079/77.069888
78 BN,A Coy,Ahmednagar,Shivaji,Z-201,Scott,Husband,F,89,Teacher,9213840282,,1 kunal,Single,Pink,3,N,N,2,28.679079/77.069889
78 BN,A Coy,Ahmednagar,Shivaji,Z-201,Cian,Wife,F,96,Engineer,9213840283,,1 kunal,Single,Purple,5,N,N,2,28.679079/77.069890
78 BN,A Coy,Ahmednagar,Sambhaji,Z-202,Filip,Father,F,49,Painter,9213840284,,1 kunal,Single,White,2,Y,Y,2,28.679079/77.069891
78 BN,A Coy,Ahmednagar,Sambhaji,Z-202,Nico,Mother,M,60,Call Centre,9213840285,,1 kunal,Single,Blue,5,N,N,2,28.679079/77.069892
78 BN,A Coy,Ahmednagar,Sambhaji,Z-202,Olly,Husband,F,23,Air hostess,9213840286,,1 kunal,Single,Green,5,N,N,1,28.679079/77.069893
78 BN,A Coy,Ahmednagar,Sambhaji,Z-202,Gregor,Wife,M,43,Pilot,9213840287,,1 kunal,Single,Lavender,5,N,Y,2,28.679079/77.069894
78 BN,A Coy,Ahmednagar,Sambhaji,Z-203,Junior,Husband,M,75,Scientist,9213840288,,1 kunal,Single,Cherry,2,N,N,1,28.679079/77.069895
78 BN,A Coy,Ahmednagar,Sambhaji,Z-203,Antoni,Wife,F,64,Attender,9213840289,,1 kunal,Single,Light green,5,Y,N,2,28.679079/77.069896
78 BN,A Coy,Ahmednagar,Sambhaji,Z-203,Colton,Daughter,F,86,Buisnessman,9213840290,,1 kunal,Single,Red,6,Y,N,2,28.679079/77.069897
78 BN,A Coy,Ahmednagar,Sanjay,Z-204,Jenson,Father,M,62,Technician,9213840291,,1 kunal,Single,Pink,3,N,N,2,28.679079/77.069898
78 BN,A Coy,Ahmednagar,Sanjay,Z-204,Layton,Mother,F,98,Shopkeeper,9213840292,,1 kunal,Single,Purple,4,Y,Y,1,28.679079/77.069899
78 BN,A Coy,Ahmednagar,Sanjay,Z-204,Ross,Husband,F,21,Doctor,9213840293,,1 kunal,Single,White,3,N,Y,1,28.679079/77.069900
78 BN,A Coy,Ahmednagar,Sanjay,Z-204,Frederick,Wife,M,33,Teacher,9213840294,,1 kunal,Single,Blue,4,Y,N,1,28.679079/77.069901
78 BN,A Coy,Ahmednagar,Sanjay,Z-205,Maxwell,Husband,F,45,Engineer,9213840295,,1 kunal,Single,Green,4,Y,Y,2,28.679079/77.069902
78 BN,A Coy,Ahmednagar,Sanjay,Z-205,Nicholas,Wife,M,12,Painter,9213840296,,1 kunal,Single,Lavender,2,Y,N,1,28.679079/77.069903
78 BN,A Coy,Ahmednagar,Sanjay,Z-205,Danny,Daughter,F,45,Call Centre,9213840297,,2 kunal,Single,Cherry,4,Y,Y,2,28.679079/77.069904
78 BN,A Coy,Ahmednagar,Bhuj,Z-206,Declan,Father,M,23,Air hostess,9213840298,,2 kunal,Single,Light green,2,Y,Y,1,28.679079/77.069905
78 BN,A Coy,Ahmednagar,Bhuj,Z-206,Ibrahim,Mother,F,67,Pilot,9213840299,,2 kunal,Single,Red,3,Y,Y,2,28.679079/77.069906
78 BN,A Coy,Ahmednagar,Bhuj,Z-206,Oskar,Husband,M,23,Scientist,9213840300,,2 kunal,Single,Pink,4,N,Y,2,28.679079/77.069907
78 BN,A Coy,Ahmednagar,Bhuj,Z-206,Reggie,Wife,M,56,Attender,9213840301,,2 kunal,Single,Purple,5,N,Y,2,28.679079/77.069908
78 BN,A Coy,Ahmednagar,Bhuj,Z-207,Shay,Husband,M,24,Buisnessman,9213840302,,2 kunal,Single,White,3,N,Y,1,28.679079/77.069909
78 BN,A Coy,Ahmednagar,Bhuj,Z-207,Zander,Wife,F,56,Technician,9213840303,,2 kunal,Single,Blue,3,N,N,2,28.679079/77.069910
78 BN,A Coy,Ahmednagar,Bhuj,Z-207,Alasdair,Daughter,F,32,Shopkeeper,9213840304,,2 kunal,Single,Green,5,N,N,2,28.679079/77.069911
78 BN,A Coy,Ahmednagar,Dorji,Z-208,Ashton,Father,F,67,Doctor,9213840305,,1 kunal,Single,Lavender,4,Y,N,2,28.679079/77.069912
78 BN,A Coy,Ahmednagar,Dorji,Z-208,Cruz,Mother,M,89,Teacher,9213840306,,1 kunal,Single,Cherry,2,N,N,3,28.679079/77.069913
78 BN,A Coy,Ahmednagar,Dorji,Z-208,Findlay,Husband,F,96,Engineer,9213840307,,1 kunal,Single,Light green,3,N,N,2,28.679079/77.069914
78 BN,A Coy,Ahmednagar,Dorji,Z-208,Hayden,Wife,M,49,Painter,9213840308,,1 kunal,Single,Red,5,Y,Y,1,28.679079/77.069915
78 BN,A Coy,Ahmednagar,Dorji,Z-209,Jace,Husband,F,60,Call Centre,9213840309,,1 kunal,Single,Pink,4,N,N,2,28.679079/77.069916
78 BN,A Coy,Ahmednagar,Dorji,Z-209,Kerr,Wife,M,23,Air hostess,9213840310,,1 kunal,Single,Purple,3,N,N,2,28.679079/77.069917
78 BN,A Coy,Ahmednagar,Dorji,Z-209,Rio,Daughter,F,43,Pilot,9213840311,,2 kunal,Single,White,3,N,Y,2,28.679079/77.069918
78 BN,A Coy,Nashik,Alinagar,Z-210,Rudi,Father,M,75,Scientist,9213840312,,2 kunal,Single,Blue,5,N,N,2,28.679079/77.069919
78 BN,A Coy,Nashik,Alinagar,Z-210,Spencer,Mother,M,64,Attender,9213840313,,2 kunal,Single,Green,3,Y,N,3,28.679079/77.069920
78 BN,A Coy,Nashik,Alinagar,Z-210,Taylor,Husband,M,86,Buisnessman,9213840314,,2 kunal,Single,Lavender,4,Y,N,1,28.679079/77.069921
78 BN,A Coy,Nashik,Alinagar,Z-210,Toby,Wife,F,62,Technician,9213840315,,2 kunal,Single,Cherry,4,N,N,2,28.679079/77.069922
78 BN,A Coy,Nashik,Alinagar,Z-211,Joel,Husband,F,98,Shopkeeper,9213840316,,1 kunal,Single,Light green,2,Y,Y,2,28.679079/77.069923
78 BN,A Coy,Nashik,Alinagar,Z-211,Keir,Wife,F,21,Doctor,9213840317,,1 kunal,Single,Red,4,N,Y,1,28.679079/77.069924
78 BN,A Coy,Nashik,Alinagar,Z-211,Paul,Daughter,M,33,Teacher,9213840318,,1 kunal,Single,Pink,5,Y,N,2,28.679079/77.069925
78 BN,A Coy,Nashik,Anghora,Z-212,Bobby,Father,F,45,Engineer,9213840319,,1 kunal,Single,Purple,2,Y,Y,2,28.679079/77.069926
78 BN,A Coy,Nashik,Anghora,Z-212,Campbell,Mother,M,12,Painter,9213840320,,1 kunal,Single,White,3,Y,N,1,28.679079/77.069927
78 BN,A Coy,Nashik,Anghora,Z-212,Kacper,Husband,F,45,Call Centre,9213840321,,1 kunal,Single,Blue,5,Y,Y,2,28.679079/77.069928
78 BN,A Coy,Nashik,Anghora,Z-212,Miles,Wife,M,23,Air hostess,9213840322,,1 kunal,Single,Green,2,Y,Y,2,28.679079/77.069929
78 BN,A Coy,Nashik,Anghora,Z-213,Otis,Husband,F,67,Pilot,9213840323,,1 kunal,Single,Lavender,4,Y,Y,2,28.679079/77.069930
78 BN,A Coy,Nashik,Anghora,Z-213,Travis,Wife,M,23,Scientist,9213840324,,1 kunal,Single,Cherry,4,N,Y,2,28.679079/77.069931
78 BN,A Coy,Nashik,Anghora,Z-213,Alan,Daughter,M,56,Attender,9213840325,,1 kunal,Single,Light green,3,N,Y,2,28.679079/77.069932
78 BN,A Coy,Nashik,Panchshil,Z-214,Alfred,Father,F,24,Buisnessman,9213840326,,1 kunal,Single,Red,5,N,Y,2,28.679079/77.069933
78 BN,A Coy,Nashik,Panchshil,Z-214,Erik,Mother,F,56,Technician,9213840327,,1 kunal,Single,Pink,2,N,N,2,28.679079/77.069934
78 BN,A Coy,Nashik,Panchshil,Z-214,Kevin,Husband,F,32,Shopkeeper,9213840328,,1 kunal,Single,Purple,5,N,N,2,28.679079/77.069935
78 BN,A Coy,Nashik,Panchshil,Z-214,Marcel,Wife,M,67,Doctor,9213840329,,1 kunal,Single,White,5,Y,N,1,28.679079/77.069936
78 BN,A Coy,Nashik,Panchshil,Z-215,Nathaniel,Husband,M,89,Teacher,9213840330,,1 kunal,Single,Blue,5,N,N,2,28.679079/77.069937
78 BN,A Coy,Nashik,Panchshil,Z-215,Quinn,Wife,M,96,Engineer,9213840331,,1 kunal,Single,Green,2,N,N,1,28.679079/77.069938
78 BN,A Coy,Nashik,Panchshil,Z-215,Yusuf,Daughter,F,49,Painter,9213840332,,1 kunal,Single,Lavender,5,Y,Y,2,28.679079/77.069939
78 BN,A Coy,Nashik,Alodi,Z-216,Billy,Father,M,60,Call Centre,9213840333,,1 kunal,Single,Cherry,6,N,N,2,28.679079/77.069940
78 BN,A Coy,Nashik,Alodi,Z-216,Douglas,Mother,F,23,Air hostess,9213840334,,1 kunal,Single,Light green,3,N,N,2,28.679079/77.069941
78 BN,A Coy,Nashik,Alodi,Z-216,Eden,Husband,M,43,Pilot,9213840335,,1 kunal,Single,Red,4,N,Y,1,28.679079/77.069942
78 BN,A Coy,Nashik,Alodi,Z-216,Ewan,Wife,F,75,Scientist,9213840336,,2 kunal,Single,Pink,3,N,N,1,28.679079/77.069943
78 BN,A Coy,Nashik,Alodi,Z-217,Jakub,Husband,M,64,Attender,9213840337,,2 kunal,Single,Purple,4,Y,N,1,28.679079/77.069944
78 BN,A Coy,Nashik,Alodi,Z-217,Jonah,Wife,F,86,Buisnessman,9213840338,,2 kunal,Single,White,4,Y,N,2,28.679079/77.069945
78 BN,A Coy,Nashik,Alodi,Z-217,Leonardo,Daughter,F,62,Technician,9213840339,,2 kunal,Single,Blue,2,N,N,1,28.679079/77.069946
78 BN,A Coy,Nashik,Irli,Z-218,Mac,Father,F,98,Shopkeeper,9213840340,,2 kunal,Single,Green,4,Y,Y,2,28.679079/77.069947
78 BN,A Coy,Nashik,Irli,Z-218,Murdo,Mother,M,21,Doctor,9213840341,,2 kunal,Single,Lavender,2,N,Y,1,28.679079/77.069948
78 BN,A Coy,Nashik,Irli,Z-218,Ronnie,Husband,F,33,Teacher,9213840342,,2 kunal,Single,Cherry,3,Y,N,2,28.679079/77.069949
78 BN,A Coy,Nashik,Irli,Z-218,Vincent,Wife,M,45,Engineer,9213840343,,2 kunal,Single,Light green,4,Y,Y,2,28.679079/77.069950
78 BN,A Coy,Nashik,Irli,Z-219,Ali,Husband,M,12,Painter,9213840344,,1 kunal,Single,Red,5,Y,N,2,28.679079/77.069951
78 BN,A Coy,Nashik,Irli,Z-219,Asher,Wife,F,45,Call Centre,9213840345,,1 kunal,Single,Pink,3,Y,Y,1,28.679079/77.069952
78 BN,A Coy,Nashik,Irli,Z-219,Bailey,Daughter,F,23,Air hostess,9213840346,,1 kunal,Single,Purple,3,Y,Y,2,28.679079/77.069953
78 BN,A Coy,Pune,Kamath,Z-220,Enzo,Father,M,67,Pilot,9213840347,,1 kunal,Single,White,5,Y,Y,2,28.679079/77.069954
78 BN,A Coy,Pune,Kamath,Z-220,Lennox,Mother,F,23,Scientist,9213840348,,1 kunal,Single,Blue,4,N,Y,2,28.679079/77.069955
78 BN,A Coy,Pune,Kamath,Z-220,Niall,Husband,F,56,Attender,9213840349,,1 kunal,Single,Green,2,N,Y,3,28.679079/77.069956
78 BN,A Coy,Pune,Kamath,Z-220,Alistair,Wife,M,24,Buisnessman,9213840350,,2 kunal,Single,Lavender,3,N,Y,2,28.679079/77.069957
78 BN,A Coy,Pune,Kamath,Z-221,Colby,Husband,F,56,Technician,9213840351,,2 kunal,Single,Cherry,5,N,N,1,28.679079/77.069958
78 BN,A Coy,Pune,Kamath,Z-221,Francis,Wife,M,32,Shopkeeper,9213840352,,2 kunal,Single,Light green,4,N,N,2,28.679079/77.069959
78 BN,A Coy,Pune,Kamath,Z-221,Julian,Daughter,F,67,Doctor,9213840353,,2 kunal,Single,Red,3,Y,N,2,28.679079/77.069960
78 BN,A Coy,Pune,Rahat,Z-222,Keegan,Father,M,89,Teacher,9213840354,,2 kunal,Single,Pink,3,N,N,2,28.679079/77.069961
78 BN,A Coy,Pune,Rahat,Z-222,Luka,Mother,F,96,Engineer,9213840355,,1 kunal,Single,Purple,5,N,N,2,28.679079/77.069962
78 BN,A Coy,Pune,Rahat,Z-222,Odin,Husband,M,49,Painter,9213840356,,1 kunal,Single,White,3,Y,Y,3,28.679079/77.069963
78 BN,A Coy,Pune,Rahat,Z-222,Steven,Wife,M,60,Call Centre,9213840357,,1 kunal,Single,Blue,4,N,N,1,28.679079/77.069964
78 BN,A Coy,Pune,Rahat,Z-279,Duncan,Husband,M,23,Air hostess,9213840358,,1 kunal,Single,Green,4,N,N,2,28.679079/77.069965
78 BN,A Coy,Pune,Rahat,Z-279,Kade,Wife,F,43,Pilot,9213840359,,1 kunal,Single,Lavender,2,N,Y,2,28.679079/77.069966
78 BN,A Coy,Pune,Rahat,Z-279,Musa,Daughter,F,75,Scientist,9213840360,,1 kunal,Single,Cherry,4,N,N,1,28.679079/77.069967
78 BN,A Coy,Pune,Samrat,Z-282,Mustafa,Father,F,64,Attender,9213840361,,1 kunal,Single,Light green,5,Y,N,2,28.679079/77.069968
78 BN,A Coy,Pune,Samrat,Z-282,Oakley,Mother,M,86,Buisnessman,9213840362,,1 kunal,Single,Red,2,Y,N,2,28.679079/77.069969
78 BN,A Coy,Pune,Samrat,Z-282,Rex,Husband,F,62,Technician,9213840363,,1 kunal,Single,Pink,3,N,N,1,28.679079/77.069970
78 BN,A Coy,Pune,Samrat,Z-282,Archer,Wife,M,98,Shopkeeper,9213840364,,1 kunal,Single,Purple,5,Y,Y,2,28.679079/77.069971
78 BN,A Coy,Pune,Samrat,Z-286,Axel,Husband,F,21,Doctor,9213840365,,1 kunal,Single,White,2,Y,Y,2,28.679079/77.069972
78 BN,A Coy,Pune,Samrat,Z-286,Ayden,Wife,M,33,Teacher,9213840366,,1 kunal,Single,Blue,4,Y,N,2,28.679079/77.069973
78 BN,A Coy,Pune,Samrat,Z-286,Caiden,Daughter,F,45,Engineer,9213840367,,1 kunal,Single,Green,4,Y,Y,2,28.679079/77.069974
78 BN,A Coy,Pune,Kodkya,Z-289,Craig,Father,M,12,Painter,9213840368,,1 kunal,Single,Lavender,3,Y,N,2,28.679079/77.069975
78 BN,A Coy,Pune,Kodkya,Z-289,Lauchlan,Mother,M,45,Call Centre,9213840369,,1 kunal,Single,Cherry,5,Y,Y,2,28.679079/77.069976
78 BN,A Coy,Pune,Kodkya,Z-289,Lennon,Husband,M,23,Air hostess,9213840370,,1 kunal,Single,Light green,2,N,Y,2,28.679079/77.069977
78 BN,A Coy,Pune,Kodkya,Z-289,Lukas,Wife,F,67,Pilot,9213840371,,1 kunal,Single,Red,5,N,Y,2,28.679079/77.069978
78 BN,A Coy,Pune,Kodkya,Z-293,Maximilian,Husband,F,23,Scientist,9213840372,,1 kunal,Single,Pink,5,N,Y,1,28.679079/77.069979
78 BN,A Coy,Pune,Kodkya,Z-293,Mylo,Wife,F,56,Attender,9213840373,,1 kunal,Single,Purple,5,N,Y,2,28.679079/77.069980
78 BN,A Coy,Pune,Kodkya,Z-293,Nikodem,Daughter,M,24,Buisnessman,9213840374,,1 kunal,Single,White,2,N,Y,1,28.679079/77.069981
78 BN,A Coy,Pune,Sarthak,Z-296,Rocco,Father,F,56,Technician,9213840375,,2 kunal,Single,Blue,5,Y,N,2,28.679079/77.069982
78 BN,A Coy,Pune,Sarthak,Z-296,Rohan,Mother,M,32,Shopkeeper,9213840376,,2 kunal,Single,Green,6,N,N,2,28.679079/77.069983
78 BN,A Coy,Pune,Sarthak,Z-296,Xavier,Husband,F,67,Doctor,9213840377,,2 kunal,Single,Lavender,3,N,N,2,28.679079/77.069984
78 BN,A Coy,Pune,Sarthak,Z-296,Abel,Wife,M,89,Teacher,9213840378,,2 kunal,Single,Cherry,4,Y,N,1,28.679079/77.069985
78 BN,A Coy,Pune,Sarthak,Z-300,Elias,Husband,F,96,Engineer,9213840379,,2 kunal,Single,Light green,3,N,N,1,28.679079/77.069986
78 BN,A Coy,Pune,Sarthak,Z-300,Eric,Wife,M,49,Painter,9213840380,,2 kunal,Single,Red,4,N,Y,1,28.679079/77.069987
78 BN,A Coy,Pune,Sarthak,Z-300,Franciszek,Son,M,60,Call Centre,9213840381,,2 kunal,Single,Pink,4,N,N,2,28.679079/77.069988
78 BN,A Coy,Shrirampur,Durga,Z-303,Kaleb,Father,F,23,Air hostess,9213840382,,2 kunal,Single,Purple,2,N,N,1,28.679079/77.069989
78 BN,A Coy,Shrirampur,Durga,Z-303,Karson,Mother,F,43,Pilot,9213840383,,1 kunal,Single,White,4,Y,Y,2,28.679079/77.069990
78 BN,A Coy,Shrirampur,Durga,Z-303,Kody,Husband,F,75,Scientist,9213840384,,1 kunal,Single,Blue,2,Y,N,1,28.679079/77.069991
78 BN,A Coy,Shrirampur,Durga,Z-303,Lincoln,Wife,M,64,Attender,9213840385,,1 kunal,Single,Green,3,N,N,2,28.679079/77.069992
78 BN,A Coy,Shrirampur,Durga,Z-307,Phoenix,Husband,M,86,Buisnessman,9213840386,,1 kunal,Single,Lavender,4,Y,N,2,28.679079/77.069993
78 BN,A Coy,Shrirampur,Durga,Z-307,Stephen,Wife,M,62,Technician,9213840387,,1 kunal,Single,Cherry,5,N,N,2,28.679079/77.069994
78 BN,A Coy,Shrirampur,Durga,Z-307,Tristan,Son,F,98,Shopkeeper,9213840388,,1 kunal,Single,Light green,3,Y,Y,1,28.679079/77.069995
78 BN,A Coy,Shrirampur,Balram,Z-310,Abdullah,Father,M,21,Doctor,9213840389,,2 kunal,Single,Red,3,Y,Y,2,28.679079/77.069996
78 BN,A Coy,Shrirampur,Balram,Z-310,Dexter,Mother,F,33,Teacher,9213840390,,2 kunal,Single,Pink,5,Y,N,2,28.679079/77.069997
78 BN,A Coy,Shrirampur,Balram,Z-310,Ian,Husband,M,45,Engineer,9213840391,,2 kunal,Single,Purple,4,Y,Y,2,28.679079/77.069998
78 BN,A Coy,Shrirampur,Balram,Z-310,Jensen,Wife,F,12,Painter,9213840392,,2 kunal,Single,White,2,Y,N,3,28.679079/77.069999
78 BN,A Coy,Shrirampur,Balram,Z-314,Jonathan,Husband,M,45,Call Centre,9213840393,,2 kunal,Single,Blue,3,Y,Y,2,28.679079/77.070000
78 BN,A Coy,Shrirampur,Balram,Z-314,Richard,Wife,F,23,Air hostess,9213840394,,1 kunal,Single,Green,5,N,Y,1,28.679079/77.070001
78 BN,A Coy,Shrirampur,Balram,Z-314,Zayn,Son,F,67,Pilot,9213840395,,1 kunal,Single,Lavender,4,N,Y,2,28.679079/77.070002
78 BN,A Coy,Shrirampur,Duryodhan,Z-317,Adrian,Father,F,23,Scientist,9213840396,,1 kunal,Single,Cherry,3,N,Y,2,28.679079/77.070003
78 BN,A Coy,Shrirampur,Duryodhan,Z-317,Aleksander,Mother,M,56,Attender,9213840397,,1 kunal,Single,Light green,3,N,Y,2,28.679079/77.070004
78 BN,A Coy,Shrirampur,Duryodhan,Z-317,Ayaan,Husband,F,24,Buisnessman,9213840398,,1 kunal,Single,Red,5,N,Y,2,28.679079/77.070005
78 BN,A Coy,Shrirampur,Duryodhan,Z-317,Bruno,Wife,M,56,Technician,9213840399,,1 kunal,Single,Pink,3,Y,N,3,28.679079/77.070006
78 BN,A Coy,Shrirampur,Duryodhan,Z-321,Cailean,Husband,M,32,Shopkeeper,9213840400,,1 kunal,Single,Purple,4,N,N,1,28.679079/77.070007
78 BN,A Coy,Shrirampur,Duryodhan,Z-321,Christian,Wife,F,67,Doctor,9213840401,,1 kunal,Single,White,4,N,N,2,28.679079/77.070008
78 BN,A Coy,Shrirampur,Duryodhan,Z-321,Coby,Daughter,F,89,Teacher,9213840402,,1 kunal,Single,Blue,2,Y,N,2,28.679079/77.070009
78 BN,A Coy,Shrirampur,Dushasan,Z-324,Conall,Husband,M,96,Engineer,9213840403,,1 kunal,Single,Green,4,N,N,1,28.679079/77.070010
78 BN,A Coy,Shrirampur,Dushasan,Z-324,Haris,Wife,F,49,Painter,9213840404,,1 kunal,Single,Lavender,5,N,Y,2,28.679079/77.070011
78 BN,A Coy,Shrirampur,Dushasan,Z-326,Ivor,Husband,F,60,Call Centre,9213840405,,1 kunal,Single,Cherry,2,N,N,2,28.679079/77.070012
78 BN,A Coy,Shrirampur,Dushasan,Z-326,Kit,Wife,M,23,Air hostess,9213840406,,1 kunal,Single,Light green,3,N,N,1,28.679079/77.070013
78 BN,A Coy,Shrirampur,Dushasan,Z-328,Lawson,Husband,F,43,Pilot,9213840407,,1 kunal,Single,Red,5,Y,Y,2,28.679079/77.070014
78 BN,A Coy,Shrirampur,Dushasan,Z-328,Lee,Wife,M,75,Scientist,9213840408,,1 kunal,Single,Pink,2,Y,N,2,28.679079/77.070015
78 BN,A Coy,Shrirampur,Dushasan,Z-328,Marco,Daughter,F,64,Attender,9213840409,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.070016
78 BN,A Coy,Shrirampur,Karna,Z-331,Martin,Husband,M,86,Buisnessman,9213840410,,1 kunal,Single,White,4,Y,N,2,28.679079/77.070017
78 BN,A Coy,Shrirampur,Karna,Z-331,Matei,Wife,F,62,Technician,9213840411,,1 kunal,Single,Blue,3,N,N,2,28.679079/77.070018
78 BN,A Coy,Shrirampur,Karna,Z-333,Munro,Husband,M,98,Shopkeeper,9213840412,,1 kunal,Single,Green,5,Y,Y,2,28.679079/77.070019
78 BN,A Coy,Shrirampur,Karna,Z-333,Oliwier,Wife,M,21,Doctor,9213840413,,1 kunal,Single,Lavender,2,Y,Y,2,28.679079/77.070020
78 BN,A Coy,Shrirampur,Karna,Z-335,River,Husband,M,33,Teacher,9213840414,,2 kunal,Single,Cherry,5,Y,N,2,28.679079/77.070021
78 BN,A Coy,Shrirampur,Karna,Z-335,Ruari,Wife,F,45,Engineer,9213840415,,2 kunal,Single,Light green,5,Y,Y,1,28.679079/77.070022
78 BN,A Coy,Shrirampur,Karna,Z-335,Stanley,Daughter,F,12,Painter,9213840416,,2 kunal,Single,Red,5,Y,N,2,28.679079/77.070023
78 BN,B COY,Aurangabad,Ayodhya,Z-338,Szymon,Husband,F,45,Call Centre,9213840417,,2 kunal,Single,Pink,2,Y,Y,1,28.679079/77.070024
78 BN,B COY,Aurangabad,Ayodhya,Z-338,Tom,Wife,M,23,Air hostess,9213840418,,2 kunal,Single,Purple,5,N,Y,2,28.679079/77.070025
78 BN,B COY,Aurangabad,Ayodhya,Z-340,Tymon,Husband,F,67,Pilot,9213840419,,2 kunal,Single,White,6,N,Y,2,28.679079/77.070026
78 BN,B COY,Aurangabad,Ayodhya,Z-340,Bruce,Wife,M,23,Scientist,9213840420,,2 kunal,Single,Blue,3,N,Y,2,28.679079/77.070027
78 BN,B COY,Aurangabad,Ayodhya,Z-342,Darragh,Husband,F,56,Attender,9213840421,,2 kunal,Single,Green,4,N,Y,1,28.679079/77.070028
78 BN,B COY,Aurangabad,Ayodhya,Z-342,Dean,Wife,M,24,Buisnessman,9213840422,,1 kunal,Single,Lavender,3,N,Y,1,28.679079/77.070029
78 BN,B COY,Aurangabad,Ayodhya,Z-342,Idris,Daughter,F,56,Technician,9213840423,,1 kunal,Single,Cherry,4,Y,N,1,28.679079/77.070030
78 BN,B COY,Aurangabad,Ramgiri,Z-345,Jesse,Husband,M,32,Shopkeeper,9213840424,,1 kunal,Single,Light green,4,N,N,2,28.679079/77.070031
78 BN,B COY,Aurangabad,Ramgiri,Z-345,Malcolm,Wife,M,67,Doctor,9213840425,,1 kunal,Single,Red,2,N,N,1,28.679079/77.070032
78 BN,B COY,Aurangabad,Ramgiri,Z-347,Mateo,Husband,M,89,Teacher,9213840426,,1 kunal,Single,Pink,4,Y,N,2,28.679079/77.070033
78 BN,B COY,Aurangabad,Ramgiri,Z-347,Mikey,Wife,F,96,Engineer,9213840427,,1 kunal,Single,Purple,2,N,N,1,28.679079/77.070034
78 BN,B COY,Aurangabad,Ramgiri,Z-349,Nate,Husband,F,49,Painter,9213840428,,2 kunal,Single,White,3,N,Y,2,28.679079/77.070035
78 BN,B COY,Aurangabad,Ramgiri,Z-349,Omar,Wife,F,60,Call Centre,9213840429,,2 kunal,Single,Blue,4,N,N,2,28.679079/77.070036
78 BN,B COY,Aurangabad,Ramgiri,Z-349,Preston,Daughter,M,23,Air hostess,9213840430,,2 kunal,Single,Green,5,N,N,2,28.679079/77.070037
78 BN,B COY,Aurangabad,Ramsarovar,Z-352,Ruaraidh,Husband,F,43,Pilot,9213840431,,2 kunal,Single,Lavender,3,Y,Y,1,28.679079/77.070038
78 BN,B COY,Aurangabad,Ramsarovar,Z-352,Rudy,Wife,M,75,Scientist,9213840432,,2 kunal,Single,Cherry,3,Y,N,2,28.679079/77.070039
78 BN,B COY,Aurangabad,Ramsarovar,Z-354,Vinnie,Husband,F,64,Attender,9213840433,,1 kunal,Single,Light green,5,N,N,2,28.679079/77.070040
78 BN,B COY,Aurangabad,Ramsarovar,Z-354,Alec,Wife,M,86,Buisnessman,9213840434,,1 kunal,Single,Red,4,Y,N,2,28.679079/77.070041
78 BN,B COY,Aurangabad,Ramsarovar,Z-356,Allan,Husband,F,62,Technician,9213840435,,1 kunal,Single,Pink,2,N,N,3,28.679079/77.070042
78 BN,B COY,Aurangabad,Ramsarovar,Z-356,Callen,Wife,M,98,Shopkeeper,9213840436,,1 kunal,Single,Purple,3,Y,Y,2,28.679079/77.070043
78 BN,B COY,Aurangabad,Ramsarovar,Z-356,Colin,Daughter,M,21,Doctor,9213840437,,1 kunal,Single,White,5,Y,Y,1,28.679079/77.070044
